pclass,survived,Residence,name,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest,Gender
3,0,0,"Abbing, Mr. Anthony",42,0,0,C.A. 5547,7.55, ,S, , , ,0
3,0,0,"Abbott, Master. Eugene Joseph",13,0,2,C.A. 2673,20.25, ,S, , ,"East Providence, RI",0
3,0,0,"Abbott, Mr. Rossmore Edward",16,1,1,C.A. 2673,20.25, ,S, ,190,"East Providence, RI",0
3,1,0,"Abbott, Mrs. Stanton (Rosa Hunt)",35,1,1,C.A. 2673,20.25, ,S,A, ,"East Providence, RI",1
3,1,2,"Abelseth, Miss. Karen Marie",16,0,0,348125,7.65, ,S,16, ,"Norway Los Angeles, CA",1
3,1,0,"Abelseth, Mr. Olaus Jorgensen",25,0,0,348122,7.65,F G63,S,A, ,"Perkins County, SD",0
2,0,2,"Abelson, Mr. Samuel",30,1,0,P/PP 3381,24, ,C, , ,"Russia New York, NY",0
2,1,2,"Abelson, Mrs. Samuel (Hannah Wizosky)",28,1,0,P/PP 3381,24, ,C,10, ,"Russia New York, NY",1
3,1,2,"Abrahamsson, Mr. Abraham August Johannes",20,0,0,SOTON/O2 3101284,7.925, ,S,15, ,"Taalintehdas, Finland Hoboken, NJ",0
3,1,2,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",18,0,0,2657,7.2292, ,C,C, ,"Greensburg, PA",1
3,0,2,"Adahl, Mr. Mauritz Nils Martin",30,0,0,C 7076,7.25, ,S, ,72,"Asarum, Sweden Brooklyn, NY",0
3,0,1,"Adams, Mr. John",26,0,0,341826,8.05, ,S, ,103,"Bournemouth, England",0
3,0,2,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40,1,0,7546,9.475, ,S, , ,"Sweden Akeley, MN",1
3,1,1,"Aks, Master. Philip Frank",.8333,0,1,392091,9.35, ,S,11, ,"London, England Norfolk, VA",0
3,1,2,"Aks, Mrs. Sam (Leah Rosen)",18,0,1,392091,9.35, ,S,13, ,"London, England Norfolk, VA",1
3,1,2,"Albimona, Mr. Nassef Cassem",26,0,0,2699,18.7875, ,C,15, ,"Syria Fredericksburg, VA",0
2,0,0,"Aldworth, Mr. Charles Augustus",30,0,0,248744,13, ,S, , ,"Bryn Mawr, PA, USA",0
3,0,1,"Alexander, Mr. William",26,0,0,3474,7.8875, ,S, , ,"England Albion, NY",0
3,0,2,"Alhomaki, Mr. Ilmari Rudolf",20,0,0,SOTON/O2 3101287,7.925, ,S, , ,"Salo, Finland Astoria, OR",0
3,0,2,"Ali, Mr. Ahmed",24,0,0,SOTON/O.Q. 3101311,7.05, ,S, , , ,0
3,0,2,"Ali, Mr. William",25,0,0,SOTON/O.Q. 3101312,7.05, ,S, ,79,Argentina,0
1,1,0,"Allen, Miss. Elisabeth Walton",29,0,0,24160,211.3375,B5,S,2, ,"St Louis, MO",1
3,0,1,"Allen, Mr. William Henry",35,0,0,373450,8.05, ,S, , ,"Lower Clapton, Middlesex or Erdington, Birmingham",0
1,1,2,"Allison, Master. Hudson Trevor",.9167,1,2,113781,151.55,C22 C26,S,11, ,"Montreal, PQ / Chesterville, ON",0
1,0,2,"Allison, Miss. Helen Loraine",2,1,2,113781,151.55,C22 C26,S, , ,"Montreal, PQ / Chesterville, ON",1
1,0,2,"Allison, Mr. Hudson Joshua Creighton",30,1,2,113781,151.55,C22 C26,S, ,135,"Montreal, PQ / Chesterville, ON",0
1,0,2,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",25,1,2,113781,151.55,C22 C26,S, , ,"Montreal, PQ / Chesterville, ON",1
3,0,1,"Allum, Mr. Owen George",18,0,0,2223,8.3, ,S, ,259,"Windsor, England New York, NY",0
3,1,2,"Andersen-Jensen, Miss. Carla Christine Nielsine",19,1,0,350046,7.8542, ,S,16, , ,1
3,0,2,"Andersen, Mr. Albert Karvin",32,0,0,C 4001,22.525, ,S, ,260,"Bergen, Norway",0
1,1,0,"Anderson, Mr. Harry",48,0,0,19952,26.55,E12,S,3, ,"New York, NY",0
3,0,2,"Andersson, Master. Sigvard Harald Elias",4,4,2,347082,31.275, ,S, , ,"Sweden Winnipeg, MN",0
3,0,2,"Andersson, Miss. Ebba Iris Alfrida",6,4,2,347082,31.275, ,S, , ,"Sweden Winnipeg, MN",1
3,0,2,"Andersson, Miss. Ellis Anna Maria",2,4,2,347082,31.275, ,S, , ,"Sweden Winnipeg, MN",1
3,1,2,"Andersson, Miss. Erna Alexandra",17,4,2,3101281,7.925, ,S,D, ,"Ruotsinphyhtaa, Finland New York, NY",1
3,0,2,"Andersson, Miss. Ida Augusta Margareta",38,4,2,347091,7.775, ,S, , ,"Vadsbro, Sweden Ministee, MI",1
3,0,2,"Andersson, Miss. Ingeborg Constanzia",9,4,2,347082,31.275, ,S, , ,"Sweden Winnipeg, MN",1
3,0,2,"Andersson, Miss. Sigrid Elisabeth",11,4,2,347082,31.275, ,S, , ,"Sweden Winnipeg, MN",1
3,0,2,"Andersson, Mr. Anders Johan",39,1,5,347082,31.275, ,S, , ,"Sweden Winnipeg, MN",0
3,1,2,"Andersson, Mr. August Edvard (""Wennerstrom"")",27,0,0,350043,7.7958, ,S,A, , ,0
3,0,2,"Andersson, Mr. Johan Samuel",26,0,0,347075,7.775, ,S, , ,"Hartford, CT",0
3,0,2,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",39,1,5,347082,31.275, ,S, , ,"Sweden Winnipeg, MN",1
3,0,2,"Andreasson, Mr. Paul Edvin",20,0,0,347466,7.8542, ,S, , ,"Sweden Chicago, IL",0
2,0,2,"Andrew, Mr. Edgardo Samuel",18,0,0,231945,11.5, ,S, , ,"Buenos Aires, Argentina / New Jersey, NJ",0
2,0,1,"Andrew, Mr. Frank Thomas",25,0,0,C.A. 34050,10.5, ,S, , ,"Cornwall, England Houghton, MI",0
1,1,0,"Andrews, Miss. Kornelia Theodosia",63,1,0,13502,77.9583,D7,S,10, ,"Hudson, NY",1
1,0,2,"Andrews, Mr. Thomas Jr",39,0,0,112050,0,A36,S, , ,"Belfast, NI",0
3,0,2,"Angheloff, Mr. Minko",26,0,0,349202,7.8958, ,S, , ,"Bulgaria Chicago, IL",0
2,0,1,"Angle, Mr. William A",34,1,0,226875,26, ,S, , ,"Warwick, England",0
2,1,1,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",36,1,0,226875,26, ,S,11, ,"Warwick, England",1
1,1,2,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",53,2,0,11769,51.4792,C101,S,D, ,"Bayside, Queens, NY",1
3,0,2,"Arnold-Franchi, Mr. Josef",25,1,0,349237,17.8, ,S, , ,"Altdorf, Switzerland",0
3,0,2,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18,1,0,349237,17.8, ,S, , ,"Altdorf, Switzerland",1
3,0,2,"Aronsson, Mr. Ernst Axel Algot",24,0,0,349911,7.775, ,S, , ,"Sweden Joliet, IL",0
1,0,2,"Artagaveytia, Mr. Ramon",71,0,0,PC 17609,49.5042, ,C, ,22,"Montevideo, Uruguay",0
2,0,0,"Ashby, Mr. John",57,0,0,244346,13, ,S, , ,"West Hoboken, NJ",0
3,0,2,"Asim, Mr. Adola",35,0,0,SOTON/O.Q. 3101310,7.05, ,S, , , ,0
3,0,2,"Asplund, Master. Carl Edgar",5,4,2,347077,31.3875, ,S, , ,"Sweden  Worcester, MA",0
3,0,2,"Asplund, Master. Clarence Gustaf Hugo",9,4,2,347077,31.3875, ,S, , ,"Sweden Worcester, MA",0
3,1,2,"Asplund, Master. Edvin Rojj Felix",3,4,2,347077,31.3875, ,S,15, ,"Sweden Worcester, MA",0
3,0,2,"Asplund, Master. Filip Oscar",13,4,2,347077,31.3875, ,S, , ,"Sweden Worcester, MA",0
3,1,2,"Asplund, Miss. Lillian Gertrud",5,4,2,347077,31.3875, ,S,15, ,"Sweden Worcester, MA",1
3,0,2,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",40,1,5,347077,31.3875, ,S, ,142,"Sweden  Worcester, MA",0
3,1,2,"Asplund, Mr. Johan Charles",23,0,0,350054,7.7958, ,S,13, ,"Oskarshamn, Sweden Minneapolis, MN",0
3,1,2,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38,1,5,347077,31.3875, ,S,15, ,"Sweden  Worcester, MA",1
3,1,2,"Assaf Khalil, Mrs. Mariana (""Miriam"")",45,0,0,2696,7.225, ,C,C, ,"Ottawa, ON",1
3,0,2,"Assaf, Mr. Gerios",21,0,0,2692,7.225, ,C, , ,"Ottawa, ON",0
3,0,2,"Assam, Mr. Ali",23,0,0,SOTON/O.Q. 3101309,7.05, ,S, , , ,0
1,0,0,"Astor, Col. John Jacob",47,1,0,PC 17757,227.525,C62 C64,C, ,124,"New York, NY",0
1,1,0,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",18,1,0,PC 17757,227.525,C62 C64,C,4, ,"New York, NY",1
3,0,2,"Attalah, Miss. Malake",17,0,0,2627,14.4583, ,C, , , ,1
3,0,2,"Attalah, Mr. Sleiman",30,0,0,2694,7.225, ,C, , ,"Ottawa, ON",0
1,1,2,"Aubart, Mme. Leontine Pauline",24,0,0,PC 17477,69.3,B35,C,9, ,"Paris, France",1
3,0,2,"Augustsson, Mr. Albert",23,0,0,347468,7.8542, ,S, , ,"Krakoryd, Sweden Bloomington, IL",0
3,1,2,"Ayoub, Miss. Banoura",13,0,0,2687,7.2292, ,C,C, ,"Syria Youngstown, OH",1
3,0,2,"Baccos, Mr. Raffull",20,0,0,2679,7.225, ,C, , , ,0
3,0,2,"Backstrom, Mr. Karl Alfred",32,1,0,3101278,15.85, ,S,D, ,"Ruotsinphytaa, Finland New York, NY",0
